DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
11,0,0,11
56,0,0,56
149,0,0,149
246,0,0,246
37,0,0,37
139,0,0,139
170,0,0,170
519,10,9,528
198,0,0,198
146,0,0,146
82,0,0,82
35,0,0,35
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
62,0,0,62
186,0,0,186
257,0,0,257
395,0,0,395
474,0,0,474
588,148,141,729
536,174,162,698
524,8,6,530
367,4,3,370
234,0,0,234
74,0,0,74
4,0,0,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
29,1,0,29
198,46,14,212
276,8,5,281
298,532,400,698
359,76,61,420
426,0,0,426
633,25,24,657
583,42,39,622
340,93,67,407
291,421,267,558
174,23,12,187
65,7,1,65
4,4,0,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
47,1,0,47
177,210,80,257
287,367,201,488
347,429,333,681
316,674,588,904
458,486,465,922
463,482,464,927
333,661,596,929
195,818,653,848
163,777,477,640
142,561,228,370
57,272,60,117
4,0,0,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
39,77,15,54
103,577,205,308
117,845,473,590
127,937,699,827
203,870,763,966
199,906,869,1068
313,735,710,1023
240,818,747,986
315,597,464,779
131,853,528,659
108,695,284,392
55,315,67,122
4,9,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
42,54,10,53
120,491,180,299
130,813,457,587
151,894,668,820
203,875,771,974
308,747,716,1024
435,543,527,962
439,319,297,735
412,1,1,413
362,251,140,501
132,608,245,377
58,282,60,118
4,9,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
